key,value,year
Australia,8.8,1971
Australia,8.7,1972
Australia,7.9,1973
Australia,8.2,1974
Australia,8.2,1975
Australia,8.1,1976
Australia,7.3,1977
Australia,7.3,1978
Australia,7.2,1979
Australia,6.8,1980
Australia,7.2,1981
Australia,7.1,1982
Australia,7.1,1983
Australia,6.8,1984
Australia,7.1,1985
Australia,6.6,1986
Australia,6.3,1987
Australia,6.3,1988
Australia,6.2,1989
Australia,6.1,1990
Australia,6.3,1991
Australia,5.7,1992
Australia,6.2,1993
Australia,6.1,1994
Australia,6.2,1995
Australia,6.4,1996
Australia,6.5,1997
Australia,6.1,1998
Australia,6.1,1999
Australia,6,2000
Australia,6.2,2001
Australia,6.2,2002
Australia,6,2003
Australia,6,2004
Australia,5.5,2005
Australia,5.3,2006
Australia,5.6,2007
Austria,10.9,1971
Austria,10.5,1972
Austria,10.8,1973
Austria,12.6,1974
Austria,13.6,1975
Austria,11.2,1976
Austria,13.4,1977
Austria,13.5,1978
Austria,14.4,1979
Austria,15.6,1980
Austria,17.8,1981
Austria,19,1982
Austria,18.9,1983
Austria,18.7,1984
Austria,19.6,1985
Austria,20.8,1986
Austria,22.4,1987
Austria,26.3,1988
Austria,24.3,1989
Austria,21,1990
Austria,20.6,1991
Austria,22.5,1992
Austria,23.2,1993
Austria,22.6,1994
Austria,22.8,1995
Austria,21.4,1996
Austria,21.9,1997
Austria,21.6,1998
Austria,23.9,1999
Austria,24,2000
Austria,23.3,2001
Austria,23.3,2002
Austria,20.9,2003
Austria,22.2,2004
Austria,22.4,2005
Austria,23.9,2006
Austria,25.6,2007
Belgium,0,1971
Belgium,0,1972
Belgium,0,1973
Belgium,0.1,1974
Belgium,0.1,1975
Belgium,0.1,1976
Belgium,0.1,1977
Belgium,0.2,1978
Belgium,0.2,1979
Belgium,0.2,1980
Belgium,0.2,1981
Belgium,0.2,1982
Belgium,0.3,1983
Belgium,0.4,1984
Belgium,0.4,1985
Belgium,0.5,1986
Belgium,0.5,1987
Belgium,0.5,1988
Belgium,0.9,1989
Belgium,1.6,1990
Belgium,1.6,1991
Belgium,1.7,1992
Belgium,1.5,1993
Belgium,1.5,1994
Belgium,1.7,1995
Belgium,1.6,1996
Belgium,1.6,1997
Belgium,1.7,1998
Belgium,1.8,1999
Belgium,1.8,2000
Belgium,2.1,2001
Belgium,2.1,2002
Belgium,2.4,2003
Belgium,2.6,2004
Belgium,2.8,2005
Belgium,3.4,2006
Belgium,3.8,2007
Canada,15.3,1971
Canada,15.2,1972
Canada,15.4,1973
Canada,16,1974
Canada,14.2,1975
Canada,14.4,1976
Canada,14.4,1977
Canada,15,1978
Canada,14.8,1979
Canada,15.2,1980
Canada,16.1,1981
Canada,16.3,1982
Canada,17.2,1983
Canada,17.3,1984
Canada,17.9,1985
Canada,18.1,1986
Canada,17.8,1987
Canada,16.7,1988
Canada,15.5,1989
Canada,16.2,1990
Canada,16.7,1991
Canada,16.7,1992
